aek amra
ouk sokban
ouk sothy
ouk sovann
oum channu
oum sam an
oum sovanny
oung oeun
ouv pearun
ouv sophoan
pal sam oeun
pal vanarirak
pan ron
pan sopanny
parn puong bopha
pek mith
pel dararith
pen panha
pen simon
pen sothavarin
pen sovan
peng phan
peou savoeun
pharat voeurn
phatara khvan
phe sophanna
phin vichearavudh
phok seila
phuong soksana
pich chan boremei
pich pirun
pich rovinyothin
pich sapuon
pich sovankhamarin
pich vong reksmey
pichey sopheara
pin ratana
pin saren
pisith pilika
pol horm
pom tola
por sokhum
pot pouv
poum meas bandol
pov ponvuthy
pov somnang
prak mony udom
prak monyphearun
prak sovannpiseth
prak vanny
preap sovath
preung chetra
prom yaneat
prum ratha
prum sokha
prum sovuthy
pruonh meas
puong phavy
ratana sak
rathanak thavin
rattana chey
real khemrin
reung bunheing
rith dyka
rithy panh
roeurm channroeurn
ros kungsomrach
ros serey sothea
ros sereysothea
rous hai
run rany
saing chamroeun
sak setha
saksi sbong
sam el nasa
sam piseth
sam som ath
sam vandeth
sambath yous
samoeun pidor
samrith seiha
san chamrong
san usarphea
saom pich dany
saom vansodany
saphonn vonthanak
sar kheng
saravuth
saray sakana
saray vannat
sareth krya
sarun bou
sary matnorotin
sath rosib
sath rozak
savoan ratanakraksa
savy soeukirin
say chhum
say david
say piseth
say visal
sean pissa
seang chhay
seang nam
seang namchheav
seang sokunthea
sem sangvarith
sem sovandeth
seng botum
seng semedy
seng sreisrors
seng visal
serey vichara
seut baraing
sim bovisal
sim sitho
sim solika
sin kakada
sin mony udom
sinn sisamouth
sleh sen
so hean
so heng
so khun
so min chiv
sob ravy
soch ratha
soeng narith
soeun khun
soeung sopanha
soeuy visal
sok an
sok heang
sok min chi
sok oumsea
sok panha
sok pheng
sok pisey
sok ratha
sok samnang
sok sophea
sok sovan
sok sreymom
sok sreyneang
sok tour
sokun ryu
som dara
som pov
som sokundara
som vannak
son chhay
song sis
sophal lun
sopheap pich
sor kessora
sor piseth
sorn davin
sorn seavmey
sorn solida
sorn sophinna
sorn vanna
sorphea chheng
sort nasary
sos proshim
sos suhana
sou yaty
soun sopheaktra
soun thoun
sous chenda
sovann makura
sovann mony
sovann tevi
sraing titcchy
srey udom
srun sengly
sum lamy
sun bun ly
sun sopanha
sun sovannrithy
sun vandeth
sung rot
suon noeut
suon ratana
suong virak
suos sotheara
suos yara
suosdei
suy sem
svang samnang
tan kim vin
tan ngimkheak
tang manyang
tang sopheak
tat kimleng
tat kimlorn
tat marina
tat somnang
te chanmony
tea lum kun
tep boung
tep chhayden
tep rundaro
tep sothy
tep veasna
than narin
thin sok
thong khon
thorn darapich
thorn seyha
thourng da
tia banh
tioulong saumura
tith dina
to rithya
to vanchan
tok nimol
touch pancharong
touch sunnix
toun sopheen
tout khoeut
troeung thavy
tum saray
tuon yuda
ty viboth
um kannaray
um kumpheak
um sereyroth
um tola
um vichet
un ghi
ung kan thuok
ung sam an
uy vutha
va bottroi
van narith
vang deux
vann nath
vann sereyratanak
vann vannak
vanna eung
veth rattana
vichara dany
virak dara
virick duong chan
voir chhorvoin
vong soth
vuth sivorng
vy raten
wann sina
yan sokha
yeak nhom
yeay mae meun
yem ponnarith
yet chetra
yeth yana
yeu muslim
yeun savuth
yim chhay ly
yim sovann
yok ary
yorm vanna
you hockry
you kimhorn
yous bovannak
yue safy
yun savin
yun tharo
yuthara chany
yvett som
yvon hem
